program,slug,year-1,year-2,year-3,year-4,link,description,note,Leadership,Research,Entrepreneurship,Public Speaking,Teamwork,Mentoring,Competitive Teams,Global Engagement,Advanced Degree,K12 Outreach,Professional Certification,online,faculty-led,networking,certfication,staff-contact
EPICS ,epics,TRUE,TRUE,TRUE,TRUE,http://engineering.asu.edu/epics,"The Engineering Projects in Community Service program, known as EPICS Gold at ASU, is an award-winning community service and social entrepreneurship program. Through EPICS, you have the opportunity to get a hands-on approach to problem solving while making an impact in the community. You will enter the workforce with the ability to design innovative solutions to meet client needs in a dynamic environment.",,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Lindsey Dickerson 
Student organizations and teams,studentorgs,TRUE,TRUE,TRUE,TRUE,http://studentorgs.engineering.asu.edu/,"If you are interested in fun, leadership, outreach, career growth and networking opportunities, you should check out opportunities with the more than 60 student organizations and teams in the Fulton Schools of Engineering. There are honors and professional societies, diversity organizations, service and major-specific groups, and competitive teams that provide ample opportunities for you to find a group that suits your needs, whether it is gaining hands-on experience working on a team or socializing with peers who share the same passion.",,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,Melissa Stine 
Grand Challenges Scholars Program ,gcsp,TRUE,TRUE,TRUE,TRUE,https://gcsp.engineering.asu.edu/,"Grand Challenge Scholars receive the well-rounded preparation needed to tackle complex social issues in the areas of health, energy, sustainability, security and education. Students admitted to the Grand Challenge Scholars Program combine experiences in research, service learning, entrepreneurship and leadership, with the development of a global perspective and interdisciplinary thinking. Grand Challenge Scholars receive a unique endorsement from the National Academy of Engineering upon completion of the program.",,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Bruce Kimura 
Academic Bowl ,bowl,TRUE,TRUE,TRUE,TRUE,http://engineering.asu.edu/academicbowl/,"The Academic Bowl pits teams from ASU’s colleges and schools against each other in lightning-fast question-and-answer rounds. Questions can cover any topic—from world politics and pop culture, to history and geography, to world literature. If you have a passion for learning, possess a wide range of knowledge about various (possibly obscure) topics, and can quickly hit a buzzer, consider trying out for the team. Not only will you have a blast ring off answers in a fast-paced event, but you also have a chance to win scholarship money and the coveted championship title.",,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Timothy Rooney 
Accelerate Programs ,accelerate,FALSE,FALSE,FALSE,TRUE,http://explore.engineering.asu.edu/accelerated-programs/,Accelerated programs offer exceptional students in the Fulton Schools the opportunity to combine advanced undergraduate course work with graduate course work to earn a bachelor’s and a master’s degree five years or less.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Kaely Graham/ Anca Castillo
Career Fairs Volunteer/ Employer Liason ,career-fair,TRUE,TRUE,TRUE,TRUE,https://engineering.asu.edu/career/events-calendar/,"As a volunteer at one of the Fulton Schools career fairs, you will be able to network with recruiting managers and learn more about positions available with their companies. Another way to get involved is through student organizations as an employer relations representative working directly with employers, honing your business communications, customer service and event planning skills.",,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Vicki Fox 
Devil's Invent ,invent,TRUE,TRUE,TRUE,TRUE,https://devils-invent.engineering.asu.edu/,"Devils Invent is a series of weekend-long engineering and design challenges. Participating students are encouraged to design, build, and implement innovative solutions to challenging problem statements submitted by community, industry and University partners. Volunteer opportunities are also available to help facilitate Devils Invent sessions. ",,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,Melissa Stine 
E2 Camp Counselors (E2C2s),e2c2,FALSE,TRUE,TRUE,TRUE,https://engineering.asu.edu/e2/c2s/,"E2 is an innovative program that welcomes all first-year students to our Fulton Schools of Engineering community. Upper-division students serve as counselors for this fun, multi-day, off-campus program. E2C2s help incoming students learn skills that are important to their success in the Fulton Schools of Engineering through a variety of fun and interactive activities.",Must have participated in E2 camp,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Dani Ramirez-Escobedo 
eProjects and Innovation Showcase,eprojects,TRUE,TRUE,TRUE,TRUE,http://poly.engineering.asu.edu/eprojects/,"Students will work as part of a team to solve a challenge defined by an industry partner. Faculty and industry mentors will offer guidance and support throughout your team’s project development process. Project results are then presented at the end of each semester during Innovation Showcase for faculty, industry partners and the public to attend either virtually or in-person.",Takes place at the Polytechnic campus,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Academic Advising 
Capstones,capstone,FALSE,FALSE,FALSE,TRUE,,"Capstones are an integrative experience for senior-level students, specific to each degree program.   MORE CONTENT NEEDED HERE",,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,School Specific/ Academic Advising 
